"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444","7/93",0.000564455250502891,0.00838472617565204,0,0,5.33779264214047,39.9248178017053,"INCENP;PLK1;CDCA8;KIF2C;AURKB;NDC80;SPC24","Reactome_2022","Downregulated"
"RHOB GTPase Cycle R-HSA-9013026","6/69",0.000652075907585696,0.00951332172316988,0,0,6.23206349206349,45.7143643198936,"ANLN;ARHGEF12;RACGAP1;FLOT1;FLOT2;ECT2","Reactome_2022","Downregulated"
"Telomere C-strand Synthesis Initiation R-HSA-174430","3/12",0.000704270734764966,0.00989606474597211,0,0,21.6556655665567,157.184350558501,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"G0 And Early G1 R-HSA-1538133","4/27",0.000714220183019836,0.00989606474597211,0,0,11.3279585372876,82.0633482487571,"TOP2A;CCNA2;CDK2;CDK1","Reactome_2022","Downregulated"
"Regulation Of TP53 Activity R-HSA-5633007","9/157",0.000716133183461437,0.00989606474597211,0,0,4.0020475020475,28.9814048732536,"CCNA2;PRKAA1;PRKAA2;CHEK1;CDK2;CDK1;PRKAG1;AKT1;AURKB","Reactome_2022","Downregulated"
"EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025","7/97",0.000726761180854745,0.00989606474597211,0,0,5.09951690821256,36.853763170802,"INCENP;PLK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"DNA Replication Pre-Initiation R-HSA-69002","8/127",0.000761466463659853,0.0101986573903295,0,0,4.41599458575377,31.7080088314458,"H2AX;POLA1;POLA2;UBE2C;PRIM1;CDK2;MCM10;POLE","Reactome_2022","Downregulated"
"RHOC GTPase Cycle R-HSA-9013106","6/73",0.000879993029287489,0.0115556701611781,0,0,5.85880597014925,41.2201951983509,"ANLN;ABCD3;ARHGEF12;RACGAP1;FLOT1;FLOT2","Reactome_2022","Downregulated"
"Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035","3/13",0.000905217736004161,0.0115556701611781,0,0,19.4891089108911,136.566715982723,"CCNB1;CHEK1;CDK1","Reactome_2022","Downregulated"
"Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501","3/13",0.000905217736004161,0.0115556701611781,0,0,19.4891089108911,136.566715982723,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755","6/74",0.000945532161718004,0.0118846119403632,0,0,5.77235294117647,40.1972958425394,"PRKAA1;PRKAA2;NBEA;PRKAG1;CAMKK1;CAMKK2","Reactome_2022","Downregulated"
"Extension Of Telomeres R-HSA-180786","5/50",0.000978574968200007,0.0121135719548395,0,0,7.25322997416021,50.2606272255237,"CCNA2;POLA1;POLA2;PRIM1;CDK2","Reactome_2022","Downregulated"
"Leading Strand Synthesis R-HSA-69109","3/14",0.00113910065786439,0.0134583603590021,0,0,17.7164716471647,120.07367403006,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Removal Of Flap Intermediate R-HSA-69166","3/14",0.00113910065786439,0.0134583603590021,0,0,17.7164716471647,120.07367403006,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Chromatin Modifying Enzymes R-HSA-3247509","11/238",0.00114941730147819,0.0134583603590021,0,0,3.19774509071903,21.6439381562099,"H2AX;MORF4L1;SETD2;NCOR1;HDAC3;AEBP2;H2AC21;KMT2B;ARID2;EZH2;PHF8","Reactome_2022","Downregulated"
"G-protein Mediated Events R-HSA-112040","5/52",0.00117089919212219,0.0134583603590021,0,0,6.94387502650739,46.8710403625603,"NBEA;GNAI3;CAMKK1;CAMKK2;GNAI2","Reactome_2022","Downregulated"
"Transcriptional Regulation By TP53 R-HSA-3700989","14/354",0.00117993373063839,0.0134583603590021,0,0,2.72921031426269,18.4011465212025,"FANCI;PRKAA1;PRKAA2;CRADD;PRKAG1;MLH1;AURKB;CCNA2;CCNB1;AIFM2;CHEK1;CDK2;CDK1;AKT1","Reactome_2022","Downregulated"
"Signaling By NOTCH R-HSA-157118","10/203",0.00118604889332699,0.0134583603590021,0,0,3.41356252625683,22.9976068351614,"H2AX;JAG1;NCOR1;HDAC3;NBEA;TACC3;CNTN1;AKT1;FURIN;DLGAP5","Reactome_2022","Downregulated"
"DNA Strand Elongation R-HSA-69190","4/31",0.00122044896025811,0.0136589972675463,0,0,9.64778023056169,64.7224857022352,"GINS1;POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Separation Of Sister Chromatids R-HSA-2467813","9/170",0.00125666849779888,0.0138742994959688,0,0,3.67645398080181,24.5561063868267,"UBE2C;INCENP;CDCA5;PLK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"Processive Synthesis On Lagging Strand R-HSA-69183","3/15",0.00140782760199987,0.0152773614359994,0,0,16.2392739273927,106.622322140649,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408","6/80",0.0014211499010232,0.0152773614359994,0,0,5.3027027027027,34.7660511116316,"CCNA2;CCNB1;UBE2C;PLK1;CDK2;CDK1","Reactome_2022","Downregulated"
"Mitotic Prophase R-HSA-68875","7/112",0.00168838950182709,0.0177174866978111,0,0,4.36767001114827,27.88311870489,"H2AX;CCNB2;CCNB1;NCAPH2;PLK1;CDK1;PHF8","Reactome_2022","Downregulated"
"Polo-like Kinase Mediated Events R-HSA-156711","3/16",0.00171319638816044,0.0177174866978111,0,0,14.989337395278,95.4730019719797,"CCNB2;CCNB1;PLK1","Reactome_2022","Downregulated"
"Regulation Of KIT Signaling R-HSA-1433559","3/16",0.00171319638816044,0.0177174866978111,0,0,14.989337395278,95.4730019719797,"LYN;YES1;SOCS6","Reactome_2022","Downregulated"
"Metabolism R-HSA-1430728","48/2049",0.00185985066476371,0.0189937249138994,0,0,1.64503794614321,10.3427797675211,"N6AMT1;SLC35B2;NDUFB7;PRKAA2;HDAC3;HPGD;NAXE;NDUFA12;NDUFB3;HMMR;TYMS;HACD2;GNAI2;AKT1;HMOX1;TK1;ARSD;NDUFA8;NDUFA7;TIMMDC1;RRM2;NDUFA5;NCOA3;AKR1C1;NDUFA3;PLEKHA6;AKR1C2;BAAT;GPCPD1;DCK;MED13L;PPP1CA;DHFR;MARCKS;NCOR1;CYP24A1;HOOK2;NDUFS7;NDUFAF4;PXMP2;GNB1;NDUFS4;RPL37A;NDUFS3;NDUFS2;PLIN2;MAN2B1;RBKS","Reactome_2022","Downregulated"
"Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314","9/182",0.0020107356893056,0.0202811241748478,0,0,3.41933788754598,21.231539538993,"PRKAA1;PRKAA2;NBEA;GNB1;PRKAG1;GNAI3;CAMKK1;CAMKK2;GNAI2","Reactome_2022","Downregulated"
"DNA Double-Strand Break Repair R-HSA-5693532","8/149",0.00212062126502588,0.0211286289454408,0,0,3.72278547289257,22.9176393030907,"H2AX;CCNA2;TIPIN;PPP4C;CHEK1;CDK2;TIMELESS;POLE","Reactome_2022","Downregulated"
"Regulation Of TP53 Degradation R-HSA-6804757","4/36",0.00215191586219974,0.0211821115592432,0,0,8.13824503311258,49.980191474481,"CCNA2;CDK2;CDK1;AKT1","Reactome_2022","Downregulated"
"G2 Phase R-HSA-68911","2/5",0.00226318678731853,0.0220121857766576,0,0,43.1820175438597,263.020864639781,"CCNA2;CDK2","Reactome_2022","Downregulated"
"Regulation Of TP53 Expression And Degradation R-HSA-6806003","4/37",0.00238406136216876,0.0222560978078159,0,0,7.89123018262091,47.6547428616416,"CCNA2;CDK2;CDK1;AKT1","Reactome_2022","Downregulated"
"RHO GTPases Activate Formins R-HSA-5663220","7/119",0.00238542840531214,0.0222560978078159,0,0,4.09322742474916,24.7164484786548,"INCENP;PLK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586","5/61",0.00239722962923843,0.0222560978078159,0,0,5.82522543901281,35.1461570825603,"H2AX;CCNA2;UBN1;CDK2;ASF1A","Reactome_2022","Downregulated"
"Post NMDA Receptor Activation Events R-HSA-438064","5/61",0.00239722962923843,0.0222560978078159,0,0,5.82522543901281,35.1461570825603,"PRKAA1;PRKAA2;PRKAG1;CAMKK1;CAMKK2","Reactome_2022","Downregulated"
"Regulation Of Signaling By CBL R-HSA-912631","3/18",0.00244052070829355,0.022403431670515,0,0,12.9894389438944,78.1385396500981,"LYN;YES1;RAPGEF1","Reactome_2022","Downregulated"
"Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383","3/19",0.00286555217329474,0.02600394405116,0,0,12.1769801980198,71.2961486367843,"CCNB2;CCNB1;CDK1","Reactome_2022","Downregulated"
"Telomere Maintenance R-HSA-157579","6/92",0.00289640013299334,0.02600394405116,0,0,4.56,26.6499471081897,"H2AX;CCNA2;POLA1;POLA2;PRIM1;CDK2","Reactome_2022","Downregulated"
"RAC3 GTPase Cycle R-HSA-9013423","6/93",0.00305722440659466,0.0271494819585635,0,0,4.50735632183908,26.0987101674751,"JAG1;RACGAP1;NCOA3;RAPGEF1;ABL2;CYBA","Reactome_2022","Downregulated"
"Lagging Strand Synthesis R-HSA-69186","3/20",0.00333338403535975,0.0292835995364399,0,0,11.4601048340128,65.3657707961294,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"MTOR Signaling R-HSA-165159","4/41",0.00348500221472099,0.0302898596747559,0,0,7.03669232146053,39.8226585580196,"PRKAA1;PRKAA2;PRKAG1;AKT1","Reactome_2022","Downregulated"
"RND1 GTPase Cycle R-HSA-9696273","4/42",0.0038061580585101,0.0323878549812924,0,0,6.85116765423493,38.1687797874079,"GRB7;CCDC88A;FLOT2;PLXNA1","Reactome_2022","Downregulated"
"Protein Localization R-HSA-9609507","8/164",0.00382441336797435,0.0323878549812924,0,0,3.36224401996214,18.7154276437658,"TIMM8B;ABCD3;ZFAND6;PXMP2;HMOX1;TYSND1;BAAT;TOMM20","Reactome_2022","Downregulated"
"CTLA4 Inhibitory Signaling R-HSA-389513","3/21",0.00384531448370301,0.0323878549812924,0,0,10.8228822882288,60.1849649160218,"LYN;YES1;AKT1","Reactome_2022","Downregulated"
"ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170","3/22",0.00440255151668583,0.036702903970738,0,0,10.2527357998958,55.6269461903471,"GNB1;GNAI3;GNAI2","Reactome_2022","Downregulated"
"Diseases Of Programmed Cell Death R-HSA-9645723","5/71",0.00463672057184272,0.0376732681175789,0,0,4.94009866102889,26.5468449830229,"H2AX;POLA1;POLA2;PRIM1;EZH2","Reactome_2022","Downregulated"
"Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229","2/7",0.00465728283950485,0.0376732681175789,0,0,25.9065789473684,139.100792332116,"CAMKK1;CAMKK2","Reactome_2022","Downregulated"
"Loss Of MECP2 Binding Ability To NCoR/SMRT Complex R-HSA-9022537","2/7",0.00465728283950485,0.0376732681175789,0,0,25.9065789473684,139.100792332116,"HDAC3;NCOR1","Reactome_2022","Downregulated"
"SUMOylation Of DNA Replication Proteins R-HSA-4615885","4/45",0.0048885814139217,0.0390391140199528,0,0,6.34889355516072,33.7815300623819,"TOP2A;INCENP;CDCA8;AURKB","Reactome_2022","Downregulated"
"AURKA Activation By TPX2 R-HSA-8854518","5/72",0.00492169980912502,0.0390391140199528,0,0,4.86611791540636,25.8590436301701,"PLK1;CDK1;CSNK1E;HMMR;HAUS1","Reactome_2022","Downregulated"
"Generic Transcription Pathway R-HSA-212436","30/1190",0.00506401906441611,0.0397817651502688,0,0,1.73669415292354,9.17946163503257,"H2AX;PRKAA1;PRKAA2;HDAC3;KMT2B;PRKAG1;FURIN;NR2C2;AURKB;CCNB1;AIFM2;CHEK1;AKT1;ZNF688;ARID2;FANCI;TFAP2A;WWOX;YES1;JAG1;RRM2;CRADD;UBE2C;MLH1;CCNA2;NCOR1;CDK2;CDK1;RNF141;EZH2","Reactome_2022","Downregulated"
"MHC Class II Antigen Presentation R-HSA-2132295","6/104",0.00529656524890201,0.0412123219843137,0,0,3.99918367346939,20.9585088192352,"RACGAP1;KIF4A;KIF2C;KIF20A;KIF11;KIF22","Reactome_2022","Downregulated"
"Signaling By NOTCH1 R-HSA-1980143","5/74",0.00552854906793789,0.0426115527217477,0,0,4.72458953247629,24.5576126075317,"NCOR1;HDAC3;JAG1;NBEA;CNTN1","Reactome_2022","Downregulated"
"APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048","3/24",0.00565734458966615,0.0427967641644189,0,0,9.27534181989627,47.9980448843531,"CCNB1;UBE2C;CDK1","Reactome_2022","Downregulated"
"Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368","3/24",0.00565734458966615,0.0427967641644189,0,0,9.27534181989627,47.9980448843531,"AKR1C1;AKR1C2;BAAT","Reactome_2022","Downregulated"
"PKMTs Methylate Histone Lysines R-HSA-3214841","4/47",0.00571454920830902,0.0428329055338392,0,0,6.05298013245033,31.2620677832367,"SETD2;AEBP2;KMT2B;EZH2","Reactome_2022","Downregulated"
"Platelet Activation, Signaling And Aggregation R-HSA-76002","10/254",0.00593936775959964,0.0441133041781173,0,0,2.6930106335844,13.8047834316887,"LYN;TOR4A;FGB;GNB1;GNAI3;AKT1;ABHD6;CYRIB;GNAI2;SOD1","Reactome_2022","Downregulated"
"CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729","2/8",0.00614717984176483,0.0451275548853643,0,0,21.5877192982456,109.919525867581,"CAMKK1;CAMKK2","Reactome_2022","Downregulated"
"Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814","5/76",0.0061863967529508,0.0451275548853643,0,0,4.59103457957045,23.3472585886843,"CCNA2;CCNB1;UBE2C;PLK1;CDK1","Reactome_2022","Downregulated"
"Polymerase Switching On C-strand Of Telomere R-HSA-174411","3/25",0.00635689270329751,0.0459608968017174,0,0,8.85328532853285,44.7818258686929,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312","4/49",0.00662867194694654,0.0475054822864502,0,0,5.78337012509198,29.0114133797853,"CCNA2;CCNB1;CDK2;CDK1","Reactome_2022","Downregulated"
"Neuronal System R-HSA-112316","13/386",0.00677675406609405,0.0481444180173812,0,0,2.29824593508953,11.4780309478243,"PRKAA1;PRKAA2;HOMER1;PRKAG1;GNAI3;CAMKK1;GNAI2;CAMKK2;PPFIBP2;NBEA;GNB1;FLOT1;FLOT2","Reactome_2022","Downregulated"
"Mitochondrial Complex I Assembly Model OXPHOS System WP4324","14/56",9.3282020779799e-14,3.6659834166461e-11,0,0,22.4337899543379,673.084342835527,"NDUFA8;NDUFA7;NDUFB7;TIMMDC1;DMAC1;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFAF4;NDUFS4;NDUFS3;NDUFS2;ND5","WikiPathways_2024_Human","Downregulated"
"Retinoblastoma Gene In Cancer WP2446","16/87",2.71495349725844e-13,5.33488362211284e-11,0,0,15.2485672656629,441.214722675956,"TOP2A;RRM2;PRIM1;TYMS;DCK;CCNA2;DHFR;CCNB2;POLA1;ANLN;CCNB1;KIF4A;CHEK1;CDK2;CDK1;POLE","WikiPathways_2024_Human","Downregulated"
"Nonalcoholic Fatty Liver Disease WP4396","15/154",1.52237305515024e-08,1.99430870224681e-06,0,0,7.25172439368093,130.534015237736,"NDUFA8;PRKAA1;NDUFA7;PRKAA2;NDUFB7;NDUFA5;NDUFA12;NDUFA3;NDUFB3;PRKAG1;NDUFS7;NDUFS4;NDUFS3;AKT1;NDUFS2","WikiPathways_2024_Human","Downregulated"
"Oxidative Phosphorylation WP623","10/60",2.32730237498692e-08,2.28657458342464e-06,0,0,13.272972972973,233.285387075807,"NDUFA8;NDUFA7;NDUFB7;NDUFS7;NDUFA5;NDUFA3;NDUFS4;NDUFS3;NDUFS2;ND5","WikiPathways_2024_Human","Downregulated"
"Electron Transport Chain OXPHOS System In Mitochondria WP111","12/105",7.27949326431889e-08,5.72168170575465e-06,0,0,8.60258942286592,141.388886389083,"NDUFA8;NDUFA7;NDUFB7;NDUFS7;NDUFA5;NDUFA12;NDUFA3;NDUFS4;NDUFB3;NDUFS3;NDUFS2;ND5","WikiPathways_2024_Human","Downregulated"
"AMP Activated Protein Kinase Signaling WP1403","8/67",8.16540308606364e-06,0.000534833902137168,0,0,8.93413718575816,104.668817506251,"CCNA2;PRKAA1;CCNB1;PRKAA2;PRKAG1;AKT1;CAMKK1;CAMKK2","WikiPathways_2024_Human","Downregulated"
"Circadian Rhythm Genes WP3594","13/201",1.41239376821502e-05,0.000792958215583574,0,0,4.60347832401423,51.4099863323034,"TOP2A;PRKAA1;PRKAA2;HDAC3;HOMER1;FBXW11;CSNK1E;TYMS;PPP1CA;RAI1;NCOR1;TIMELESS;EZH2","WikiPathways_2024_Human","Downregulated"
"Thyroid Stimulating Hormone TSH Signaling WP2032","7/58",2.8241172995705e-05,0.00132111624530903,0,0,9.01705029838022,94.4511637510353,"CDK2;GNB1;GNAI3;AKT1;PLD1;RAP1GAP;GNAI2","WikiPathways_2024_Human","Downregulated"
"ATM Signaling WP2516","6/40",3.02545705032602e-05,0.00132111624530903,0,0,11.5647058823529,120.340748445737,"H2AX;CCNB1;CRADD;CHEK1;CDK2;CDK1","WikiPathways_2024_Human","Downregulated"
"DNA Replication WP466","6/42",4.03000066403788e-05,0.00158379026096689,0,0,10.9211111111111,110.512458962595,"POLA1;POLA2;PRIM1;CDK2;MCM10;POLE","WikiPathways_2024_Human","Downregulated"
"Lipid Metabolism Pathway WP3965","5/29",7.12787430254067e-05,0.0025465950917259,0,0,13.6143410852713,130.00215053333,"PRKAA1;PRKAA2;PRKAG1;AKT1;PRKACA","WikiPathways_2024_Human","Downregulated"
"Urotensin II Mediated Signaling WP5158","7/69",8.77985840035447e-05,0.00265421873179947,0,0,7.41309742151257,69.24177837847,"AIFM2;CDK2;CDK1;AKT1;HMOX1;CYBA;PRKACA","WikiPathways_2024_Human","Downregulated"
"DNA Damage Response WP707","7/69",8.77985840035447e-05,0.00265421873179947,0,0,7.41309742151257,69.24177837847,"H2AX;CCNB2;CCNB1;CHEK1;CDK2;CDK1;AKT1","WikiPathways_2024_Human","Downregulated"
"DNA Repair Pathways Full Network WP4946","9/120",9.67374706830376e-05,0.00271555899845956,0,0,5.34616434616435,49.4173221862962,"FANCI;H2AX;MPG;NTHL1;MGMT;CHEK1;MLH1;POLE;RAD54B","WikiPathways_2024_Human","Downregulated"
"DNA IR Damage And Cellular Response Via ATR WP4016","7/81",0.00024207858552022,0.00634245894062977,0,0,6.20717707674229,51.6824966579533,"H2AX;FANCI;CHEK1;PLK1;CDK2;CDK1;MLH1","WikiPathways_2024_Human","Downregulated"
"G1 To S Cell Cycle Control WP45","6/64",0.000434666849901948,0.0106765045007166,0,0,6.77103448275862,52.4141085804768,"CCNB1;POLA2;PRIM1;CDK2;CDK1;POLE","WikiPathways_2024_Human","Downregulated"
"Pathways Affected In Adenoid Cystic Carcinoma WP3651","6/65",0.000472800759138986,0.0109300410789189,0,0,6.65593220338983,50.96338454492,"MORF4L1;SETD2;NCOR1;UHRF1;CHEK1;AKT1","WikiPathways_2024_Human","Downregulated"
"S1P Receptor Signal Transduction WP26","4/25",0.000527342652751761,0.0111791721943901,0,0,12.4080731630401,93.6519178090504,"RACGAP1;GNAI3;AKT1;GNAI2","WikiPathways_2024_Human","Downregulated"
"Integrated Cancer Pathway WP1971","5/44",0.000540468884716059,0.0111791721943901,0,0,8.37166709259733,62.9806667725541,"CHEK1;PLK1;CDK2;CDK1;AKT1","WikiPathways_2024_Human","Downregulated"
"miRNA Regulation Of DNA Damage Response WP1530","6/69",0.000652075907585696,0.0128132915840589,0,0,6.23206349206349,45.7143643198936,"H2AX;CCNB2;CCNB1;CHEK1;CDK2;CDK1","WikiPathways_2024_Human","Downregulated"
"Gastric Cancer Network 1 WP2361","4/27",0.000714220183019836,0.0133661205679426,0,0,11.3279585372876,82.0633482487571,"TOP2A;UBE2C;ECT2;H3-3A","WikiPathways_2024_Human","Downregulated"
"Microtubule Cytoskeleton Regulation WP2038","5/48",0.000810762548003778,0.0144831673347948,0,0,7.59136212624585,54.0317881808984,"CDK1;AKT1;KIF2C;PRKACA;AURKB","WikiPathways_2024_Human","Downregulated"
"Synaptic Signaling Associated With Autism Spectrum Disorder WP4539","5/50",0.000978574968200007,0.0167208679348958,0,0,7.25322997416021,50.2606272255237,"PRKAA1;PRKAA2;HOMER1;PRKAG1;AKT1","WikiPathways_2024_Human","Downregulated"
"Netrin UNC5B Signaling WP4747","5/52",0.00117089919212219,0.0191734742710009,0,0,6.94387502650739,46.8710403625603,"ARHGEF12;DAPK1;AKT1;CIP2A;PPP1CA","WikiPathways_2024_Human","Downregulated"
"Fluoropyrimidine Activity WP1601","4/33",0.00154957261698137,0.0243592815389471,0,0,8.98150262617036,58.1083111860325,"DHFR;RRM2;TK1;TYMS","WikiPathways_2024_Human","Downregulated"
"Cohesin Complex Cornelia De Lange Syndrome WP5117","4/34",0.00173526510924899,0.0262291995359559,0,0,8.68167770419426,55.185909750556,"CDCA5;PLK1;CDK1;AURKB","WikiPathways_2024_Human","Downregulated"
"Target Of Rapamycin Signaling WP1471","4/36",0.00215191586219974,0.030671629155552,0,0,8.13824503311258,49.980191474481,"PRKAA1;PRKAA2;PRKAG1;AKT1","WikiPathways_2024_Human","Downregulated"
"Androgen Receptor Signaling WP138","6/87",0.0021852560212607,0.030671629155552,0,0,4.84271604938272,29.6665864389155,"PSMC3IP;NCOR1;RNF14;NCOA3;AKT1;NR2C2","WikiPathways_2024_Human","Downregulated"
"Cell Cycle WP179","7/120",0.00250078540361991,0.0338899539180215,0,0,4.05679699292627,24.3048810688704,"CCNA2;CCNB2;CCNB1;CHEK1;PLK1;CDK2;CDK1","WikiPathways_2024_Human","Downregulated"
"P53 Transcriptional Gene Network WP4963","6/91",0.00274198948409872,0.0359200622416932,0,0,4.61388235294118,27.2176220447088,"PRKAA1;PRKAA2;MGMT;CDK2;PRKAG1;MLH1","WikiPathways_2024_Human","Downregulated"
"Ovarian Infertility WP34","4/39",0.00289891558951561,0.0367507686025688,0,0,7.439545884579,43.4723804000111,"NCOR1;AKT1;MLH1;SYNE2","WikiPathways_2024_Human","Downregulated"
"Insulin Signaling WP481","8/160",0.00329206541805442,0.0403152537025239,0,0,3.45143058989756,19.7292060250295,"PRKAA1;PRKAA2;GRB14;STXBP4;FLOT1;RAPGEF1;AKT1;FLOT2","WikiPathways_2024_Human","Downregulated"
"Histone Modifications WP2369","5/66",0.00338525031089895,0.0403152537025239,0,0,5.34638636239856,30.4119961873179,"SETD2;AEBP2;KMT2B;H3-3A;EZH2","WikiPathways_2024_Human","Downregulated"
"Nicotine Effect On Dopaminergic Neurons WP1602","3/21",0.00384531448370301,0.0435728614023922,0,0,10.8228822882288,60.1849649160218,"GNB1;PRKACA;PPP1CA","WikiPathways_2024_Human","Downregulated"
"Hippo Signaling Regulation WP4540","6/98",0.0039632720786565,0.0435728614023922,0,0,4.26130434782609,23.5679333682314,"PRKAA1;PRKAA2;PRKAG1;GNAI3;PRKACA;GNAI2","WikiPathways_2024_Human","Downregulated"
"Trans Sulfuration One Carbon Metabolism And Related Pathways WP2525","5/69",0.0041022795722354,0.0435728614023922,0,0,5.09499584717608,28.0031796922732,"DHFR;BAAT;TYMS;PLD1;SOD1","WikiPathways_2024_Human","Downregulated"
"Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982","5/69",0.0041022795722354,0.0435728614023922,0,0,5.09499584717608,28.0031796922732,"PRKAA1;PRKAA2;PRKAG1;AKT1;PRKACA","WikiPathways_2024_Human","Downregulated"
"Angiopoietin Like Protein 8 Regulatory Pathway WP3915","7/132",0.00424595113618152,0.0439120735926141,0,0,3.66509698996656,20.0179879776148,"PRKAA1;PRKAA2;PRKAG1;FLOT1;RAPGEF1;AKT1;FLOT2","WikiPathways_2024_Human","Downregulated"
"PI3K AKT mTOR Vitamin D3 Signaling WP4141","3/22",0.00440255151668583,0.0443641729758342,0,0,10.2527357998958,55.6269461903471,"PRKAA2;CYP24A1;AKT1","WikiPathways_2024_Human","Downregulated"
"Estrogen Signaling WP712","3/23",0.00500621599231482,0.0491860721244931,0,0,9.73960396039604,51.5914120662463,"GNB1;AKT1;PRKACA","WikiPathways_2024_Human","Downregulated"
